2024-11-20 13:38:23.069 [main] INFO  org.example.MonomerStructureApplication - Starting MonomerStructureApplication using Java 17.0.12 with PID 18924 (E:\projects\Byron\Java\monomer_structure\target\classes started by 10314 in E:\projects\Byron\Java\monomer_structure)
2024-11-20 13:38:23.070 [main] DEBUG org.example.MonomerStructureApplication - Running with Spring Boot v3.1.5, Spring v6.0.13
2024-11-20 13:38:23.071 [main] INFO  org.example.MonomerStructureApplication - The following 1 profile is active: "dev"
2024-11-20 13:38:23.823 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-11-20 13:38:23.830 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-11-20 13:38:23.831 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-11-20 13:38:23.899 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-20 13:38:23.900 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 796 ms
2024-11-20 13:38:24.040 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-11-20 13:38:24.266 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@625487a6
2024-11-20 13:38:24.268 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-11-20 13:38:24.736 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-11-20 13:38:24.744 [main] INFO  org.example.MonomerStructureApplication - Started MonomerStructureApplication in 2.071 seconds (process running for 2.463)
2024-11-20 13:38:34.442 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-20 13:38:34.442 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-11-20 13:38:34.443 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-11-20 13:38:34.459 [http-nio-8080-exec-1] INFO  org.example.controller.UserController - 测试日志写入
